44749724	feedback	love	would	4	4	2	2	1	1	I would love some feedback as to how much more information I need in order to post it live .
17671324	extension	love	would	9	9	7	7	6	6	I am pretty sure that Grawp would love this extension .
14716506	help	love	would	14	14	12	12	11	11	I strongly believe that this is an encyclopedic entry , and would love some help then in figuring out what types of references WOULD make the organization notable .
44749546	expert	love	would	4	4	2	2	1	1	I would love an expert on this to review the information once this is done .
17755364	exposure	love	would	14	14	12	12	11	11	I am associated with another Spanish school , and certainly I would love the exposure of Wikipedia , but feel that an article like this is blatant advertising , and none of us should do it .
44039429	recommendation	love	would	16	16	14	14	13	13	Since most refs are over one line I though the multi line people would love this recommendation .
15882142	datacenter	love	would	9	9	7	7	6	6	As an ops person , I would love another datacenter !
64664937	attention	love	would	12	12	10	10	8	8	Those articles which you helped contribute to , would absolutely love your attention .
44749565	return	love	would	4	4	2	2	1	1	I would love a return to formal men ' s clothing -LRB- suits , overcoats , hats , etc .
6823767	insurance	love	would	6	6	4	4	3	3	Also , i would love some insurance that this user will not again do this .
46447592	sort	love	would	7	7	5	5	4	4	Phish fan sites that would love this sort of input .
44749540	mode	love	would	4	4	2	2	1	1	I would love a mode that let you focus once on the closet thing you wanted in focus and then on the furthest and the camera would then set the correct aperture to include both .
36489163	sense	love	would	12	12	18	18	15	15	His behavior , as well as Spike ' s manipulations and a sense that Buffy would never truly love him , led to their breakup .
44749544	audience	love	would	4	4	2	2	1	1	I would love an audience on the phone , out of this antiseptic cyberspace that some folks seem fit to do corporate terrorism and try to discount , slander , and harm a production they know NOTHING about .
13192549	guidance	love	would	10	10	8	8	7	7	I ' m kind of stuck and would love some guidance .
44749634	help	love	would	3	3	2	2	1	1	I would love help with this .
50569474	response	LOVE	would	10	10	8	8	7	7	No urgent need to know , but would LOVE a response .
24514099	period	loved	would	13	13	10	10	8	8	Elton says of criticism towards him `` I would have loved a honeymoon period , but I ' ve been irritating journos from the beginning .
44724427	involvement	love	would	7	7	3	3	1	1	I would dearly love some increased admin involvement over there .
70751055	writer	love	would	6	6	2	2	1	1	We would love a good content writer in India-related topics ; three users do most of the work to combat the incessant POV pushing that goes on there .
16581080	self	love	would	20	20	17	17	16	16	Ami toys with developing a love interest in Ry u ji , asking him if he would love her real self and give her a second chance .
44749536	sign	love	would	5	5	2	2	1	1	I would love a blue sign with my name on it .
49008625	song	love	would	15	15	12	12	10	10	Sciarretto concluded her review by stating Lavigne ' s fans would `` love '' the song however that it likely would not bring her any new fans .
76651066	theme	love	would	24	24	22	22	21	21	While the children were visibly delighted with the room Gold Rush had made , the sponsors still stressed that not everyone would love their theme .
17153829	advice	love	would	14	14	12	12	11	11	I do not exactly know where to put my article and would love some advice on a proper place to put it .
77340013	nothing	love	would	7	7	6	6	5	5	WikiProject Greater Manchester , I would love nothing more than this article to reach FA .
44749734	input	love	would	4	4	2	2	1	1	I would love some input from the experts here .
73218685	type	love	would	5	5	3	3	2	2	Transwiki WikiTravel would love this type of stuff , spook tours are great .
12550309	feedback	love	would	18	18	15	15	14	14	If you have a better discusson than calling my edits willy nilly , I would love any constructive feedback .
16993245	feedback	love	would	33	33	32	32	31	31	I am not in any way directly affiliated with the press , and I am fairly certain that the article meets Wikipedia standards for neutrality , notability and verifiability , but would love feedback from a disinterested party .
5320550	page	loved	would	5	5	3	3	1	1	Dad would have loved a page on himself , but I could not cite any refs .
44816781	help	love	would	5	5	3	3	1	1	I would sure love the help of a Wikipedia admin , to make this article suitable for inclusion in Wikipedia .
17021325	someone	love	would	11	11	10	10	9	9	I believe I did my due diligence , but would love someone with a critical eye to supply me with feedback .
34617308	userpage	love	would	12	12	9	9	8	8	I really suck at HTML , but I would love a nice userpage .
10940642	mater	love	would	8	8	12	12	11	11	He ' s my best friend so no mater what I would love him .
70751059	video	love	would	5	5	2	2	1	1	We would love more such video , So join your hands to add more .
44578768	input	love	would	39	39	37	37	36	36	I think that the writing style , referencing , and completeness are all at the `` good '' stage but need work before featuring , and I ' m not sure how to progress them so would love some input on those areas , as well as any other issues that jump out .
44749537	copyeditor	love	would	5	5	2	2	1	1	I would love a great copyeditor .
59735785	section	love	would	9	9	5	5	3	3	Support though I would also love a bigger lead section .
12784795	help	love	would	13	13	11	11	10	10	If you would like to join this project , we would love your help , so please add your name to the list below , and look at the to-do list for some suggestions on articles that you may be able to help with .
32305882	idea	love	would	10	10	8	8	7	7	Janus told Digital Spy , `` I would love the idea that this mad , iconic male -LSB- Archie -RSB- comes back into our lives .
44413863	review	love	would	15	15	12	12	11	11	I ' ve listed this article for peer review because I would love a great review before hopefully taking this 106-year old -LRB- to be 107 -RRB- structure to FAC .
44749715	advice	love	would	4	4	2	2	1	1	I would love some advice on how to improve this article and take this on the path to a featured status .
17989138	confirmation	love	would	19	19	18	18	17	17	I assume the NC component makes this license incompatible with WP ' s own CC-BY-SA , but would love confirmation from a more knowledgeable editor .
70489087	advice	love	would	16	16	15	15	14	14	We believe our company is notable enough to warrant inclusion in Wikipedia , and would love advice on how to improve the article in order to avoid deletion .
69656619	island	love	would	25	25	23	23	22	22	The reefs are not all connected meaning there are drop-offs and at these drop-offs is where perfect waves form , any surfer would love the island of Namotu .
11935525	feedback	love	would	11	11	10	10	9	9	But these are only my own thoughts ; I would love feedback from users with more photography experience .
44749708	nothing	love	would	3	3	2	2	1	1	I would love nothing else than to contribute to the control of damaging edits and behavior , but without abusing my power .
73430376	feedback	love	would	10	10	8	8	7	7	Ultimately aiming for a GA , I would love some feedback on the prose and some advice on how to make it flow a bit more naturally .
3234340	explanation	love	would	19	19	17	17	16	16	I since Tanbrae wo not stop making these accusations on any page he can , I would love an explanation as to this .
44749737	someone	love	would	3	3	2	2	1	1	I would love someone forever if they could determine if this photo is PD or not .
44749538	holiday	love	would	4	4	2	2	1	1	I would love a holiday in Japan !
44749721	criticism	love	would	5	5	2	2	1	1	I would love some constructive criticism of my article .
13515198	opinion	love	would	17	17	14	14	13	13	I like to think I ' m doing good work here , but would love a second opinion .
1996610	return	love	would	29	29	23	23	21	21	In 2012 , Lynne McGranger who plays Irene Roberts , told a writer from What ' s on TV that she would `` love '' her on-screen son Nathan return to the serial .
74360113	input	love	would	13	13	11	11	10	10	This is my first time publishing a wiki article and would love some input !
22043715	opportunity	love	would	18	18	16	16	15	15	Gilmore was subjected to the painful ordeal on three occasions and , not surprisingly , would love the opportunity of venturing into the vaults of time and re-writing the record books .
73816494	system	love	would	19	19	15	15	14	14	Tunes clearly has a system that users and record-labels both accept and whilst I would love a more open system the limiations on usage have -LRB- from my purchases since launch -RRB- caused me no problems at all .
44749580	review	love	would	7	7	2	2	1	1	I would love feedback or questions or review from some of the more veteran Wikipedia users .
74360154	feedback	love	would	11	11	10	10	9	9	This is my first time to Wikipedia so I would love feedback especially on format and adherence to Wikipedia guidelines .
29467379	dragon	love	would	10	10	8	8	7	7	Hagrid confirms this and explains how he would love a dragon of his own .
44735100	mentor	loved	would	5	5	3	3	1	1	I would have loved a mentor but I did not even know it was a possibility .
74360302	feedback	love	would	12	12	10	10	9	9	This is my first Wikipedia article , so I would love some feedback .
44423771	feedback	love	would	11	11	9	9	8	8	Ive created an article about David Siegel and would love any feedback on it .
69456242	monsterman	love	would	13	13	11	11	9	9	The result was Keep , although , no I would not love a monsterman .
17752642	help	love	would	8	8	6	6	5	5	I am a photographer and would love any help I can get with this entire `` Wikipedia '' thing .
44749699	feedback	love	would	4	4	2	2	1	1	I would love more feedback so I can learn to be a better wikipedia user but I feel that I have met the guidelines for this article and enjoyed trying to create my first article -LRB- and learned a lot !
17027192	insight	love	would	15	15	12	12	11	11	I believe I ' ve dealt with every issue suggested , would love any further insight you have !
44439141	case	love	would	12	12	10	10	9	9	I will point out that their are individuals that would love a case like this to argue simply for internet censorship rules .
11725350	pair	love	would	18	18	15	15	14	14	But I have a very negative opinion of this company in general , and would love a neutral pair of eyes to take a look at the thing .
31224825	reference	love	would	10	10	8	8	7	7	He has a lot of fans who would love a reference to his works .
11918552	wikipedia	love	would	22	22	14	14	12	12	But we need to watch this like hawks - the UK newspapers would just love a story about sick vandalism and bad wikipedia in this case .
74359215	hate	love	would	16	16	9	9	8	8	This is my first article and I really would love tons of feedback , criticism , hate , etc .
53480974	device	love	would	19	19	16	16	15	15	Sadly , I do not have equipment for XRF available to me , though I would love such a device .
28227130	child	love	would	28	28	26	26	24	24	His father is so pleased to see him , he allows the fox to eat the chickens in the henhouse , for `` he would surely love his child more than the fowls in the yard .
8633571	access	love	would	4	4	3	3	2	2	Alexisthomas13 - would love access to JSTOR .
17904306	list	love	would	14	14	12	12	11	11	If I wanted to go into school in this area I would love this list .
44749577	feedback	love	would	3	3	2	2	1	1	I would love feedback from more experienced editors on whether or not this article is likely to be useful to Wikipedia and not get deleted .
44749552	pair	love	would	4	4	2	2	1	1	I would love another pair of eyes to take a look .
12208775	job	love	would	5	5	3	3	2	2	But I would love the job of adding the call-out boxes .
